Grid size: 100x100
Iterations: 50
Total time: 0.6447 seconds
Time per iteration: 12.8942 ms
         1178390 function calls (1161290 primitive calls) in 1.234 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       85    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
      135    0.000    0.000    0.000    0.000 core.py:2250(__eq__)
      110    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 __init__.py:563(get_configdir)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      692    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       19    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
        7    0.000    0.000    0.000    0.000 core.py:1654(__radd__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2769(NavigationToolbar2)
       78    0.000    0.000    0.000    0.000 core.py:4649(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_cachedir)
      184    0.000    0.000    0.000    0.000 colors.py:815(__copy__)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      129    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       11    0.000    0.000    0.000    0.000 core.py:1911(__call__)
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
       48    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
      143    0.000    0.000    0.000    0.000 tokenize.py:569(_generate_tokens_from_c_tokenizer)
      405    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       23    0.000    0.000    0.000    0.000 core.py:5928(__init__)
        8    0.000    0.000    0.000    0.000 core.py:655(_setResultsName)
      683    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       76    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
       46    0.000    0.000    0.000    0.000 colors.py:1194(__init__)
       54    0.000    0.000    0.000    0.000 pathlib.py:1159(__init__)
        7    0.000    0.000    0.000    0.000 typing.py:1548(__getitem__)
      945    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       19    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        5    0.000    0.000    0.000    0.000 typing.py:740(Optional)
       12    0.000    0.000    0.000    0.000 typing.py:1458(copy_with)
        3    0.000    0.000    0.000    0.000 argparse.py:2020(consume_optional)
      344    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      458    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      458    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       13    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 registry.py:1(<module>)
     1179    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       50    0.000    0.000    0.000    0.000 core.py:933(__init__)
       21    0.000    0.000    0.000    0.000 artist.py:23(_prevent_rasterization)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
       19    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
      229    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      458    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      583    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      636    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       23    0.000    0.000    0.000    0.000 colors.py:1234(reversed)
       16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:1199(home)
       13    0.000    0.000    0.000    0.000 typing.py:1515(copy_with)
      162    0.000    0.000    0.000    0.000 core.py:2717(__new__)
       33    0.000    0.000    0.000    0.000 __init__.py:678(__init__)
      659    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
     1239    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:4135(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
      197    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:661(_cmp_fn)
        1    0.000    0.000    0.000    0.000 dviread.py:202(Dvi)
      340    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        7    0.000    0.000    0.000    0.000 core.py:6671(__add__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:627(_repr_fn)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      101    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        1    0.000    0.000    0.000    0.000 pathlib.py:80(_make_selector)
      130    0.000    0.000    0.000    0.000 inspect.py:1795(_check_class)
      151    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
        2    0.000    0.000    0.000    0.000 pathlib.py:1230(resolve)
       44    0.000    0.000    0.000    0.000 results.py:669(copy)
       49    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      546    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 pathlib.py:192(__init__)
       19    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:28(Collection)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      630    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        5    0.000    0.000    0.000    0.000 typing.py:1449(__getitem__)
        1    0.000    0.000    0.000    0.000 pathlib.py:105(_compile_pattern)
        3    0.000    0.000    0.000    0.000 argparse.py:2241(_match_argument)
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      375    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
       44    0.000    0.000    0.000    0.000 pathlib.py:447(__fspath__)
       33    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
      195    0.000    0.000    0.000    0.000 _shape_base_impl.py:621(_column_stack_dispatcher)
      110    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      708    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
       22    0.000    0.000    0.000    0.000 __init__.py:147(check_shape)
       33    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
       13    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
       89    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       42    0.000    0.000    0.000    0.000 numeric.py:170(ones)
       33    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
      216    0.000    0.000    0.000    0.000 typing.py:1293(<genexpr>)
       24    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
      853    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      544    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      807    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7705dbfa3b00}
       35    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
      254    0.000    0.000    0.000    0.000 core.py:4301(<genexpr>)
      137    0.000    0.000    0.000    0.000 colors.py:1012(__init__)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:1400(expanduser)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       54    0.000    0.000    0.000    0.000 pathlib.py:357(__init__)
       65    0.000    0.000    0.000    0.000 results.py:533(__iadd__)
        1    0.000    0.000    0.000    0.000 unicode.py:123(pyparsing_unicode)
       19    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
       24    0.000    0.000    0.000    0.000 dviread.py:184(decorate)
       75    0.000    0.000    0.000    0.000 inspect.py:2121(_signature_is_builtin)
      356    0.000    0.000    0.000    0.000 inspect.py:299(ismethod)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      443    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
      163    0.000    0.000    0.000    0.000 rcsetup.py:151(validate_bool)
       26    0.000    0.000    0.000    0.000 ast.py:56(literal_eval)
      488    0.000    0.000    0.000    0.000 colors.py:358(<genexpr>)
      229    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        6    0.000    0.000    0.000    0.000 numeric.py:2750(extend_all)
       12    0.000    0.000    0.000    0.000 functools.py:651(cache)
       77    0.000    0.000    0.000    0.000 numerictypes.py:475(issubdtype)
        8    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
       50    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
       10    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
     1890    0.000    0.000    0.000    0.000 __init__.py:887(<lambda>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:882(_hash_add)
      364    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       13    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
     1419    0.000    0.000    0.000    0.000 inspect.py:3058(parameters)
       10    0.000    0.000    0.000    0.000 version.py:94(parse)
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       36    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
        2    0.000    0.000    0.000    0.000 dataclasses.py:675(_hash_fn)
       42    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:428(realpath)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       42    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        4    0.000    0.000    0.000    0.000 colors.py:2612(_make_norm_from_scale)
       14    0.000    0.000    0.000    0.000 deprecation.py:185(finalize)
        1    0.000    0.000    0.000    0.000 core.py:6131(Forward)
      264    0.000    0.000    0.000    0.000 overrides.py:108(array_function_dispatch)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 patches.py:1313(Arrow)
       29    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
       10    0.000    0.000    0.000    0.000 version.py:348(__init__)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
        8    0.000    0.000    0.000    0.000 pathlib.py:837(stat)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
      630    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 lines.py:230(Line2D)
       26    0.000    0.000    0.000    0.000 core.py:961(__init__)
       14    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        1    0.000    0.000    0.000    0.000 patches.py:2380(BoxStyle)
        1    0.000    0.000    0.000    0.000 backend_bases.py:677(GraphicsContextBase)
        4    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
        1    0.000    0.000    0.000    0.000 core.py:6735(__new__)
        1    0.000    0.000    0.000    0.000 core.py:5824(__init__)
      183    0.000    0.000    0.000    0.000 colors.py:692(__init__)
       67    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        4    0.000    0.000    0.000    0.000 argparse.py:963(__init__)
      195    0.000    0.000    0.000    0.000 shape_base.py:206(_arrays_for_stack_dispatcher)
       44    0.000    0.000    0.000    0.000 core.py:4557(<genexpr>)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
      110    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:513(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
        6    0.000    0.000    0.000    0.000 gettext.py:224(_expand_lang)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:1037(__init__)
      324    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1914(IPv6Address)
      552    0.000    0.000    0.000    0.000 util.py:500(deprecate_argument)
       44    0.000    0.000    0.000    0.000 core.py:3543(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
        1    0.000    0.000    0.000    0.000 cbook.py:597(_get_data_path)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:503(_get_xdg_config_dir)
        8    0.000    0.000    0.000    0.000 shutil.py:1461(get_terminal_size)
       59    0.000    0.000    0.000    0.000 core.py:2139(set_name)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1008(TimerBase)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       22    0.000    0.000    0.000    0.000 core.py:1133(reset_cache)
      158    0.000    0.000    0.000    0.000 core.py:897(preParse)
       49    0.000    0.000    0.000    0.000 colors.py:404(<genexpr>)
      756    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        8    0.000    0.000    0.000    0.000 core.py:5637(__init__)
        1    0.000    0.000    0.000    0.000 testing.py:19(pyparsing_test)
        1    0.000    0.000    0.000    0.000 calendar.py:58(Month)
        1    0.000    0.000    0.000    0.000 patches.py:4517(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 rcsetup.py:36(__getattr__)
        2    0.000    0.000    0.000    0.000 core.py:4433(_setResultsName)
      300    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       65    0.000    0.000    0.000    0.000 inspect.py:2461(_descriptor_get)
        6    0.000    0.000    0.000    0.000 pathlib.py:872(is_dir)
       30    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        2    0.000    0.000    0.000    0.000 offsetbox.py:45(_compat_get_offset)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
       19    0.000    0.000    0.000    0.000 __init__.py:150(__init__)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:496(inner)
        1    0.000    0.000    0.000    0.000 patches.py:3888(FancyBboxPatch)
      323    0.000    0.000    0.000    0.000 __init__.py:821(__iter__)
       61    0.000    0.000    0.000    0.000 results.py:253(__getitem__)
        6    0.000    0.000    0.000    0.000 __init__.py:317(_logged_cached)
        1    0.000    0.000    0.000    0.000 typing.py:731(_make_union)
       33    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 __init__.py:809(_sanity_check)
        1    0.000    0.000    0.000    0.000 exceptions.py:33(ParseBaseException)
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
       27    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        2    0.000    0.000    0.000    0.000 deprecation.py:314(delete_parameter)
      997    0.000    0.000    0.000    0.000 inspect.py:2769(default)
      229    0.000    0.000    0.000    0.000 transforms.py:1330(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:4281(ParseExpression)
      138    0.000    0.000    0.000    0.000 __init__.py:447(_make)
       78    0.000    0.000    0.000    0.000 util.py:116(set_)
      229    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      248    0.000    0.000    0.000    0.000 patches.py:2353(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:873(blas_fpe_check)
        1    0.000    0.000    0.000    0.000 patches.py:27(Patch)
       48    0.000    0.000    0.000    0.000 _internal.py:853(_ufunc_doc_signature_formatter)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        6    0.000    0.000    0.000    0.000 core.py:5777(__init__)
      467    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
    24/22    0.000    0.000    0.000    0.000 ast.py:477(generic_visit)
       78    0.000    0.000    0.000    0.000 util.py:113(get)
      294    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
       70    0.000    0.000    0.000    0.000 inspect.py:2133(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 offsetbox.py:907(AnchoredOffsetbox)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1213(AnnotationBbox)
       21    0.000    0.000    0.000    0.000 overrides.py:25(get_array_function_like_doc)
        1    0.000    0.000    0.000    0.000 patches.py:2745(ConnectionStyle)
        1    0.000    0.000    0.000    0.000 mixins.py:60(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 core.py:2759(MaskedArray)
       46    0.000    0.000    0.000    0.000 typing.py:1542(<genexpr>)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 units.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:31(unicode_set)
        1    0.000    0.000    0.000    0.000 transforms.py:83(TransformNode)
       29    0.000    0.000    0.000    0.000 cbook.py:1347(_to_unmasked_float_array)
        2    0.000    0.000    0.000    0.000 pathlib.py:163(select_from)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:5115(ParseElementEnhance)
        3    0.000    0.000    0.000    0.000 six.py:887(wrapper)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       33    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:437(_joinrealpath)
       25    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        3    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       29    0.000    0.000    0.000    0.000 pathlib.py:618(stem)
        1    0.000    0.000    0.000    0.000 core.py:230(reload_library)
      250    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:593(get_data_path)
       33    0.000    0.000    0.000    0.000 results.py:262(__setitem__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.000    0.000 core.py:128(Diagnostics)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:4903(_generateDefaultName)
       15    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
      170    0.000    0.000    0.000    0.000 textwrap.py:479(predicate)
      430    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      154    0.000    0.000    0.000    0.000 numerictypes.py:293(issubclass_)
       10    0.000    0.000    0.000    0.000 getlimits.py:178(__new__)
      126    0.000    0.000    0.000    0.000 typing.py:1598(_value_and_type_iter)
        8    0.000    0.000    0.000    0.000 unicode.py:9(__init__)
      133    0.000    0.000    0.000    0.000 core.py:1965(set_whitespace_chars)
        4    0.000    0.000    0.000    0.000 colors.py:2630(Norm)
      229    0.000    0.000    0.000    0.000 transforms.py:1336(<genexpr>)
        8    0.000    0.000    0.000    0.000 rcsetup.py:223(_validate_marker)
       11    0.000    0.000    0.000    0.000 rcsetup.py:361(_validate_cmap)
       19    0.000    0.000    0.000    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        6    0.000    0.000    0.000    0.000 locale.py:381(normalize)
        2    0.000    0.000    0.000    0.000 core.py:617(set_results_name)
       98    0.000    0.000    0.000    0.000 rcsetup.py:77(__call__)
       33    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:209(BboxBase)
      463    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
        1    0.000    0.000    0.000    0.000 core.py:190(update_user_library)
      148    0.000    0.000    0.000    0.000 inspect.py:1813(_shadowed_dict)
        6    0.000    0.000    0.000    0.000 tokenize.py:352(detect_encoding)
      101    0.000    0.000    0.000    0.000 core.py:6811(_expanded)
        1    0.000    0.000    0.000    0.000 path.py:24(Path)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
       16    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
        3    0.000    0.000    0.000    0.000 core.py:1799(__xor__)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 win.py:1(<module>)
       28    0.000    0.000    0.000    0.000 rcsetup.py:474(_validate_linestyle)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 inspect.py:3090(__hash__)
        1    0.000    0.000    0.000    0.000 widgets.py:2100(_SelectorWidget)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      557    0.000    0.000    0.000    0.000 typing.py:2154(cast)
      130    0.000    0.000    0.000    0.000 unicode.py:105(<genexpr>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _trifinder.py:1(<module>)
       47    0.000    0.000    0.000    0.000 rcsetup.py:382(validate_fontsize)
       54    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      220    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 Image.py:127(Transpose)
      175    0.000    0.000    0.000    0.000 helpers.py:241(<lambda>)
      222    0.000    0.000    0.000    0.000 patches.py:2346(<genexpr>)
      101    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
      105    0.000    0.000    0.000    0.000 types.py:192(__init__)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:1509(add_argument_group)
      580    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
        4    0.000    0.000    0.000    0.000 core.py:3300(copy)
      156    0.000    0.000    0.000    0.000 core.py:2259(__hash__)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2004(Arc)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        8    0.000    0.000    0.000    0.000 pathlib.py:719(__truediv__)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 tokenize.py:445(open)
      104    0.000    0.000    0.000    0.000 typing.py:1603(__eq__)
        1    0.000    0.000    0.000    0.000 geo.py:346(MollweideAxes)
       19    0.000    0.000    0.000    0.000 __init__.py:62(_process_keys)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
       10    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
       22    0.000    0.000    0.000    0.000 __init__.py:228(__getattr__)
        1    0.000    0.000    0.000    0.000 calendar.py:75(Day)
        1    0.000    0.000    0.000    0.000 transforms.py:2172(BlendedGenericTransform)
        1    0.000    0.000    0.000    0.000 geo.py:301(HammerAxes)
       16    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
       42    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 geo.py:416(LambertAxes)
        3    0.000    0.000    0.000    0.000 core.py:4678(__init__)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
       34    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 patches.py:1396(FancyArrow)
       32    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.000    0.000 patches.py:724(Rectangle)
        1    0.000    0.000    0.000    0.000 core.py:2872(__new__)
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
        2    0.000    0.000    0.000    0.000 core.py:3040(__array_finalize__)
        8    0.000    0.000    0.000    0.000 pathlib.py:711(joinpath)
        1    0.000    0.000    0.000    0.000 pathlib.py:628(with_name)
       33    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
      406    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
        1    0.000    0.000    0.000    0.000 spines.py:14(Spine)
        2    0.000    0.000    0.000    0.000 argparse.py:1686(__init__)
       30    0.000    0.000    0.000    0.000 core.py:4904(<genexpr>)
        1    0.000    0.000    0.000    0.000 geo.py:255(AitoffAxes)
       11    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
       35    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       73    0.000    0.000    0.000    0.000 inspect.py:2507(<lambda>)
        7    0.000    0.000    0.000    0.000 _parser.py:309(_convert)
        8    0.000    0.000    0.000    0.000 argparse.py:1887(_add_action)
        1    0.000    0.000    0.000    0.000 ExifTags.py:352(IFD)
       32    0.000    0.000    0.000    0.000 getlimits.py:412(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:557(Axis)
       31    0.000    0.000    0.000    0.000 warnings.py:482(__enter__)
