Grid size: 100x100
Iterations: 50
Total time: 0.6447 seconds
Time per iteration: 12.8942 ms
         1178390 function calls (1161290 primitive calls) in 1.234 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    99177    0.013    0.000    0.013    0.000 {method 'lstrip' of 'str' objects}
      229    0.000    0.000    0.013    0.000 _compiler.py:573(_code)
      200    0.000    0.000    0.013    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.013    0.013 offsetbox.py:1(<module>)
      456    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
    71177    0.013    0.000    0.013    0.000 {built-in method builtins.min}
    74430    0.010    0.000    0.012    0.000 {built-in method builtins.isinstance}
      456    0.000    0.000    0.012    0.000 artist.py:1530(number_of_parameters)
        1    0.000    0.000    0.011    0.011 axis.py:1(<module>)
    73706    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
      426    0.000    0.000    0.011    0.000 rcsetup.py:332(validate_color)
      429    0.000    0.000    0.011    0.000 colors.py:224(is_color_like)
        1    0.000    0.000    0.010    0.010 polar.py:1(<module>)
        1    0.010    0.010    0.010    0.010 contour.py:551(ContourSet)
        1    0.000    0.000    0.010    0.010 lines.py:1(<module>)
      462    0.000    0.000    0.010    0.000 colors.py:278(to_rgba)
        1    0.000    0.000    0.010    0.010 font_manager.py:1(<module>)
        1    0.000    0.000    0.010    0.010 Image.py:1(<module>)
      264    0.001    0.000    0.010    0.000 overrides.py:145(decorator)
       94    0.001    0.000    0.010    0.000 __init__.py:1450(_preprocess_data)
      186    0.001    0.000    0.010    0.000 colors.py:325(_to_rgba_no_colorcycle)
      246    0.001    0.000    0.010    0.000 typing.py:1242(__init__)
 1221/229    0.004    0.000    0.009    0.000 _compiler.py:37(_compile)
      100    0.001    0.000    0.009    0.000 pyplot.py:208(_add_pyplot_note)
      984    0.000    0.000    0.009    0.000 artist.py:1536(is_alias)
      300    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.008    0.008 einsumfunc.py:1(<module>)
     4409    0.004    0.000    0.008    0.000 artist.py:1549(aliased_name)
17654/17651    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.008    0.008 axis3d.py:1(<module>)
3293/2814    0.003    0.000    0.008    0.000 {built-in method __new__ of type object at 0xa43b40}
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
   101/31    0.000    0.000    0.008    0.000 typing.py:1267(__getitem__)
        1    0.000    0.000    0.008    0.008 textpath.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _char_codes.py:1(<module>)
       50    0.000    0.000    0.007    0.000 typing.py:514(__getitem__)
       41    0.001    0.000    0.007    0.000 enum.py:528(__new__)
        1    0.001    0.001    0.007    0.007 pathlib.py:1(<module>)
       24    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
       24    0.006    0.000    0.007    0.000 {built-in method _imp.create_dynamic}
17002/16968    0.004    0.000    0.007    0.000 {built-in method builtins.hasattr}
      630    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
     1056    0.004    0.000    0.007    0.000 inspect.py:2998(__init__)
        1    0.000    0.000    0.007    0.007 _array_like.py:1(<module>)
        1    0.000    0.000    0.007    0.007 quiver.py:1(<module>)
        1    0.000    0.000    0.007    0.007 common.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.006    0.006 common.py:11(pyparsing_common)
        1    0.000    0.000    0.006    0.006 colorizer.py:1(<module>)
       50    0.001    0.000    0.006    0.000 typing.py:746(Literal)
       53    0.000    0.000    0.006    0.000 _add_newdocs.py:3381(_array_method_doc)
        1    0.000    0.000    0.006    0.006 game_of_life.py:28(randomGrid)
    95/90    0.000    0.000    0.006    0.000 typing.py:508(__getitem__)
       90    0.000    0.000    0.006    0.000 typing.py:687(Union)
     9608    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.006    0.006 category.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ExifTags.py:1(<module>)
     4024    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      362    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
       19    0.000    0.000    0.006    0.000 rcsetup.py:814(validate_cycler)
        1    0.001    0.001    0.005    0.005 helpers.py:1(<module>)
     7638    0.002    0.000    0.005    0.000 enum.py:726(__call__)
       48    0.000    0.000    0.005    0.000 __init__.py:1406(_add_data_doc)
        1    0.000    0.000    0.005    0.005 shape_base.py:1(<module>)
      347    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       63    0.003    0.000    0.005    0.000 {built-in method builtins.eval}
     1554    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
   101/31    0.000    0.000    0.005    0.000 typing.py:1299(_determine_new_args)
       13    0.000    0.000    0.005    0.000 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.005    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
    38397    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      600    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
   101/31    0.001    0.000    0.005    0.000 typing.py:1328(_make_substitution)
        3    0.000    0.000    0.005    0.002 patches.py:2293(__init_subclass__)
      479    0.003    0.000    0.005    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.005    0.005 _parser.py:1(<module>)
       44    0.002    0.000    0.005    0.000 __init__.py:355(namedtuple)
        6    0.000    0.000    0.005    0.001 patches.py:2335(pprint_styles)
     1591    0.005    0.000    0.005    0.000 {built-in method posix.stat}
       46    0.000    0.000    0.005    0.000 core.py:3532(mayReturnEmpty)
    48/27    0.000    0.000    0.005    0.000 functools.py:979(__get__)
    42/21    0.000    0.000    0.004    0.000 core.py:3500(re)
        1    0.000    0.000    0.004    0.004 testing.py:1(<module>)
       64    0.000    0.000    0.004    0.000 core.py:1610(__add__)
     7953    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
      268    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       64    0.001    0.000    0.004    0.000 deprecation.py:414(make_keyword_only)
        1    0.000    0.000    0.004    0.004 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
      300    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
      730    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
       65    0.000    0.000    0.004    0.000 core.py:4495(__init__)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 table.py:1(<module>)
       21    0.001    0.000    0.004    0.000 typing.py:2780(__new__)
       23    0.000    0.000    0.004    0.000 overrides.py:184(decorator)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
      251    0.002    0.000    0.004    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.004    0.004 font_manager.py:1625(_load_fontmanager)
        2    0.000    0.000    0.004    0.002 version.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
       12    0.000    0.000    0.004    0.000 core.py:1274(parse_string)
        1    0.000    0.000    0.004    0.004 _pickle.py:1(<module>)
        1    0.000    0.000    0.004    0.004 font_manager.py:1030(json_load)
        1    0.000    0.000    0.003    0.003 __init__.py:274(load)
      624    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
        7    0.000    0.000    0.003    0.000 __init__.py:73(import_module)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
       21    0.000    0.000    0.003    0.000 typing.py:2761(_make_nmtuple)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
        8    0.000    0.000    0.003    0.000 core.py:6454(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:299(loads)
      229    0.001    0.000    0.003    0.000 overrides.py:86(verify_matching_signatures)
      324    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.003    0.003 decoder.py:332(decode)
     1693    0.002    0.000    0.003    0.000 typing.py:1188(__setattr__)
      488    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
        1    0.001    0.001    0.003    0.003 decoder.py:343(raw_decode)
        1    0.000    0.000    0.003    0.003 fractions.py:1(<module>)
      630    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
     28/7    0.000    0.000    0.003    0.000 core.py:5163(leave_whitespace)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:245(_check_versions)
      146    0.000    0.000    0.003    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _npyio_impl.py:1(<module>)
     8593    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
      583    0.001    0.000    0.003    0.000 enum.py:390(__setitem__)
      300    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      113    0.000    0.000    0.003    0.000 rcsetup.py:99(f)
      445    0.000    0.000    0.003    0.000 core.py:575(copy)
      229    0.001    0.000    0.003    0.000 _compiler.py:511(_compile_info)
       84    0.000    0.000    0.003    0.000 core.py:4523(<genexpr>)
       39    0.000    0.000    0.003    0.000 colors.py:1081(from_list)
        1    0.000    0.000    0.003    0.003 mathtext.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
        3    0.000    0.000    0.003    0.001 exceptions.py:1(<module>)
       58    0.000    0.000    0.003    0.000 textwrap.py:419(dedent)
       24    0.000    0.000    0.003    0.000 typing.py:1261(__or__)
       13    0.000    0.000    0.003    0.000 core.py:8743(_convert2ma)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        7    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
      445    0.001    0.000    0.003    0.000 copy.py:61(copy)
     59/7    0.000    0.000    0.003    0.000 core.py:4325(leave_whitespace)
   306/12    0.001    0.000    0.003    0.000 core.py:916(_parseNoCache)
       31    0.000    0.000    0.003    0.000 typing.py:1562(copy_with)
     2703    0.001    0.000    0.002    0.000 cbook.py:468(_strip_comment)
       64    0.000    0.000    0.002    0.000 util.py:450(replaced_by_pep8)
   129/61    0.000    0.000    0.002    0.000 core.py:4422(copy)
      211    0.002    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
    72/12    0.000    0.000    0.002    0.000 core.py:4605(parseImpl)
      623    0.001    0.000    0.002    0.000 font_manager.py:989(_json_decode)
     1248    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.002    0.001 __init__.py:12(__getattr__)
      261    0.000    0.000    0.002    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.002    0.002 _fontconfig_pattern.py:55(_make_fontconfig_parser)
      126    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      630    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
    32480    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
     6470    0.001    0.000    0.002    0.000 _parser.py:261(get)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
    12216    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
 1433/453    0.002    0.000    0.002    0.000 _parser.py:178(getwidth)
     2093    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
        1    0.000    0.000    0.002    0.002 _add_newdocs_scalars.py:1(<module>)
       19    0.000    0.000    0.002    0.000 rcsetup.py:677(cycler)
      356    0.001    0.000    0.002    0.000 inspect.py:794(_finddoc)
     1248    0.000    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.002    0.002 colorbar.py:1(<module>)
      246    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
        7    0.000    0.000    0.002    0.000 core.py:3167(__init__)
      458    0.001    0.000    0.002    0.000 _inspect.py:97(getargspec)
      221    0.000    0.000    0.002    0.000 {built-in method builtins.any}
      458    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
       15    0.000    0.000    0.002    0.000 core.py:1770(__or__)
     4584    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.002    0.002 _mathtext.py:1(<module>)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
       15    0.000    0.000    0.002    0.000 core.py:4838(__init__)
      503    0.000    0.000    0.002    0.000 __init__.py:179(sub)
